top,util,aspect,pearson,kendall,spearman,pearson_deg,kendall_deg,spearman_deg
RocketTile,0.75,1.25,0.48403716077212433,0.3102543364674276,0.4462560843506697,0.6580351010031759,0.5028255637690292,0.6170867943957822
ariane,0.8,1.75,0.4126102752182177,0.22234464124155462,0.3253437860422993,0.614769169294817,0.46430451304911113,0.5670117607021634
mempool_tile_wrap,0.6,0.75,0.4703323159719169,0.2586230820558552,0.3788117824975258,0.634439945701528,0.5010861937695003,0.6155381650522092
mempool_tile_wrap,0.65,0.75,0.4715551098303165,0.2600172636192091,0.38000336416329994,0.6328073378049826,0.501311095850227,0.6157757670062391
RocketTile,0.75,1.5,0.4873676775745436,0.3111791875134632,0.4476474156065215,0.6620049515948443,0.50020976838554,0.6130825281760398
jpeg_encoder,0.65,1.5,0.38182931686306176,0.22798688595731934,0.33659196912658745,0.6419613921778022,0.4289025457391156,0.528604514320027
mempool_tile_wrap,0.65,1.25,0.46803146257675404,0.25439157341881186,0.3733860826740548,0.6302749351540292,0.5036958921593753,0.6184162241075121
mempool_tile_wrap,0.65,1.5,0.47133681504719116,0.2573767958273977,0.3771635246736178,0.6296232187029062,0.5013695023085565,0.6152782080493306
RocketTile,0.6,0.75,0.4860527573494839,0.3080040993119045,0.4443257803296954,0.6549925678061843,0.5016881423228472,0.6157362695318057
mempool_tile_wrap,0.65,1.0,0.4661682367250988,0.25626447357695686,0.37462328745362966,0.6270759181309143,0.49709559746716403,0.6110281068500201
mempool_tile_wrap,0.7,1.25,0.46504357712839983,0.25234217457969654,0.3699464568366949,0.6302840019536059,0.5013729033252997,0.6157627494450524
bsg_chip,0.65,1.5,0.43256925073627084,0.25668072775015005,0.37408652617512406,0.5834336661218348,0.4755388499473328,0.5780995373613771
ariane,0.6,1.75,0.41367616028340687,0.22475730150706938,0.3282771629357132,0.6181980246039885,0.47000542201845696,0.5734750054455657
bsg_chip,0.5,1.0,0.4373079997014771,0.25844765871675585,0.376708012603738,0.5864564390352234,0.4787600565007784,0.5819628500789056
aes_cipher_top,0.8,1.0,0.3318822499980095,0.22957687567153473,0.3333802636764107,0.5284101398342517,0.4372372423755809,0.5473946199373744
jpeg_encoder,0.6,1.5,0.3729466034616922,0.22057663952330564,0.32598109315933815,0.6401688476812929,0.43600935770926136,0.5370679962484438
aes_cipher_top,0.8,1.5,0.31878208201225505,0.22140049435579842,0.32145725780492235,0.5104869277590697,0.4257465990631507,0.5316126399158707
mempool_tile_wrap,0.8,1.0,0.4704793175053154,0.2591732451815385,0.3786046436824654,0.6305268231086576,0.49863056387218985,0.6138122701626427
jpeg_encoder,0.8,0.75,0.37717143315210877,0.22466307378372968,0.33210377619143916,0.6414246438518183,0.42864264990083406,0.5288347712532689
jpeg_encoder,0.7,0.75,0.3795494808349715,0.22495265865441413,0.3320255028056391,0.6477567473117462,0.43514823873162756,0.5362574819520635
jpeg_encoder,0.7,0.5,0.38048125045569886,0.22649544056465223,0.3345659915883307,0.6398140212983192,0.4353581795047584,0.5356072818220703
bsg_chip,0.55,1.75,0.43357306175912735,0.2547220105179346,0.37093022493414163,0.5878139453401499,0.4793935981816633,0.5827250000068731
RocketTile,0.8,0.5,0.4960688454437082,0.31959457570556415,0.4605254049128506,0.654720912266793,0.4978490496645257,0.6106335804673204
mempool_tile_wrap,0.75,1.25,0.46678857554627734,0.2545196989823296,0.3727920225954573,0.6321641828031288,0.5019968005005871,0.6167414748586891
jpeg_encoder,0.75,0.75,0.3790829984606313,0.22621572629970657,0.3340936279546771,0.643359306737242,0.43380092475915943,0.5349079300270685
jpeg_encoder,0.7,1.5,0.37951607185512204,0.22524271142026178,0.3325402747283479,0.6427107267197884,0.4279046653731122,0.527771856756603
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
bsg_chip,0.5,2.0,0.4410968357502882,0.26244536189743717,0.3814572882587201,0.5873878552880561,0.4688731648601904,0.5704481001060615
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
